Company Name,Industry,Country,Founded Year,Number of Employees,Revenue (USD),Website
Company_001,Education,United Kingdom,1964,550,992773771.75,www.company_001.com
Company_002,Education,Canada,1957,4825,592911237.97,www.company_002.com
Company_003,Real Estate,Australia,1971,137,716709262.13,www.company_003.com
Company_004,Energy,France,1966,3003,85573087.92,www.company_004.com
Company_005,Real Estate,Australia,2022,3863,307375847.58,www.company_005.com
Company_006,Retail,United Kingdom,1992,202,373411436.66,www.company_006.com
Company_007,Energy,United States,1980,4570,384293786.54,www.company_007.com
Company_008,Real Estate,France,1951,2625,387525715.25,www.company_008.com
Company_009,Energy,France,1956,4396,443993207.09,www.company_009.com
Company_010,Technology,United States,2019,3124,550881512.5,www.company_010.com
Company_011,Real Estate,Japan,1996,2571,963492150.16,www.company_011.com
Company_012,Healthcare,United States,1957,3937,608450656.7,www.company_012.com
Company_013,Finance,Japan,1971,2113,343602711.51,www.company_013.com
Company_014,Real Estate,United States,1995,821,360926484.89,www.company_014.com
Company_015,Transportation,United States,2019,3044,154803545.21,www.company_015.com
Company_016,Finance,France,1995,2568,912332150.43,www.company_016.com
Company_017,Finance,Japan,1998,382,183121056.65,www.company_017.com
Company_018,Healthcare,Canada,1961,4774,79512229.17,www.company_018.com
Company_019,Finance,United Kingdom,2019,438,331016481.29,www.company_019.com
Company_020,Energy,Germany,2020,196,987638047.95,www.company_020.com
Company_021,Education,Germany,1981,631,457128761.57,www.company_021.com
Company_022,Technology,Brazil,1988,4646,260958489.72,www.company_022.com
Company_023,Technology,France,1965,2417,701216610.26,www.company_023.com
Company_024,Finance,United Kingdom,1985,964,330663806.88,www.company_024.com
Company_025,Retail,Brazil,1989,2720,841564930.33,www.company_025.com
Company_026,Retail,Canada,1972,4621,774129604.26,www.company_026.com
Company_027,Entertainment,Japan,1990,1967,149452033.97,www.company_027.com
Company_028,Transportation,Canada,1998,1867,786092857.76,www.company_028.com
Company_029,Entertainment,United States,2001,1954,543784525.16,www.company_029.com
Company_030,Real Estate,United States,1986,2200,156088806.82,www.company_030.com
